origin,anchor,target,forecast,actual,ape
2009-10-01,2009-08-01,2010-10-01,418.49445421025877,558.0,25.00099386912925
2009-11-01,2009-09-01,2010-11-01,444.94134068093274,560.0,20.546189164119152
2009-12-01,2009-10-01,2010-12-01,444.2128170348961,632.0,29.713161861567073
2010-01-01,2009-11-01,2011-01-01,619.5181660838391,576.0,7.555237167333178
2010-02-01,2009-12-01,2011-02-01,820.2308753990951,542.0,51.33410985223157
2010-03-01,2010-01-01,2011-03-01,761.5431182096081,583.0,30.624891631150618
2010-04-01,2010-02-01,2011-04-01,776.6744894929651,581.0,33.67891385421086
2010-05-01,2010-03-01,2011-05-01,965.9085365948981,618.0,56.29587970791232
2010-06-01,2010-04-01,2011-06-01,805.3625416715199,636.0,26.62933045149684
2010-07-01,2010-05-01,2011-07-01,597.9888321460827,621.0,3.705502069873962
2010-08-01,2010-06-01,2011-08-01,571.0783140308624,647.0,11.734418233251557
2010-09-01,2010-07-01,2011-09-01,560.8763072004153,610.0,8.053064393374534
2010-10-01,2010-08-01,2011-10-01,540.6503500657738,671.0,19.426177337440574
2010-11-01,2010-09-01,2011-11-01,513.7060503092434,706.0,27.23710335563124
2010-12-01,2010-10-01,2011-12-01,530.1850170578588,697.0,23.93328306200018
2011-01-01,2010-11-01,2012-01-01,494.50574040284033,712.0,30.546946572634788
2011-02-01,2010-12-01,2012-02-01,596.6105246229689,738.0,19.158465498242695
2011-03-01,2011-01-01,2012-03-01,513.1158292062654,806.0,36.33798645083556
2011-04-01,2011-02-01,2012-04-01,438.46291964101715,732.0,40.10069403811241
2011-05-01,2011-03-01,2012-05-01,481.39215524222016,796.0,39.523598587660786
2011-06-01,2011-04-01,2012-06-01,521.8579242196321,794.0,34.27482062725037
2011-07-01,2011-05-01,2012-07-01,672.2475228164984,849.0,20.81890190618393
2011-08-01,2011-06-01,2012-08-01,698.359908040598,840.0,16.861915709452614
2011-09-01,2011-07-01,2012-09-01,673.8658937071156,930.0,27.541301751923058
2011-10-01,2011-08-01,2012-10-01,735.0100583541233,887.0,17.135280907088692
2011-11-01,2011-09-01,2012-11-01,669.814968415269,917.0,26.9558376864483
2011-12-01,2011-10-01,2012-12-01,832.0681434566781,941.0,11.57618029153262
2012-01-01,2011-11-01,2013-01-01,925.1045580782454,940.0,1.5846214810377215
2012-02-01,2011-12-01,2013-02-01,781.3298705610121,980.0,20.27246218765183
2012-03-01,2012-01-01,2013-03-01,911.7597626688371,936.0,2.5897689456370636
2012-04-01,2012-02-01,2013-04-01,1057.9284172986754,1012.0,4.5383811559955936
2012-05-01,2012-03-01,2013-05-01,1176.104585817049,1003.0,17.258682534102583
2012-06-01,2012-04-01,2013-06-01,958.4479242916601,942.0,1.7460641498577616
2012-07-01,2012-05-01,2013-07-01,1069.4449297681665,997.0,7.266291852373771
2012-08-01,2012-06-01,2013-08-01,1028.5951060677628,964.0,6.700737143958796
2012-09-01,2012-07-01,2013-09-01,1222.8122909163576,1004.0,21.7940528801153
2012-10-01,2012-08-01,2013-10-01,1139.0692441350645,1044.0,9.106249438224573
2012-11-01,2012-09-01,2013-11-01,1521.1133608527825,1029.0,47.82442768248615
2012-12-01,2012-10-01,2013-12-01,1228.3578419991486,1005.0,22.224660895437673
2013-01-01,2012-11-01,2014-01-01,1244.1175297742204,976.0,27.471058378506193
2013-02-01,2012-12-01,2014-02-01,1335.588311518646,1039.0,28.545554525374968
2013-03-01,2013-01-01,2014-03-01,1299.8214221342555,1067.0,21.820189515862744
2013-04-01,2013-02-01,2014-04-01,1364.3445965179078,1090.0,25.169229038340163
2013-05-01,2013-03-01,2014-05-01,1114.3974855205877,1018.0,9.469301131688377
2013-06-01,2013-04-01,2014-06-01,1476.7087532658031,1010.0,46.20878745205971
2013-07-01,2013-05-01,2014-07-01,1313.4698528591437,1076.0,22.06968892742971
2013-08-01,2013-06-01,2014-08-01,1149.8813668714467,1047.0,9.826300560787654
2013-09-01,2013-07-01,2014-09-01,1202.579707036147,1077.0,11.660139929075864
2013-10-01,2013-08-01,2014-10-01,1131.9860452610787,1094.0,3.4722162030236507
2013-11-01,2013-08-01,2014-11-01,1145.0493873066293,1059.0,8.125532323572175
2013-12-01,2013-10-01,2014-12-01,1262.6224993085223,1072.0,17.78194956236215
2014-01-01,2013-11-01,2015-01-01,1177.0703507030066,1049.0,12.208803689514454
2014-02-01,2013-12-01,2015-02-01,1085.188642465653,1127.0,3.709969612630617
2014-03-01,2014-01-01,2015-03-01,1019.746231577918,1072.0,4.874418696089736
2014-04-01,2014-02-01,2015-04-01,1112.337549481027,1166.0,4.602268483616891
2014-05-01,2014-03-01,2015-05-01,1243.1811561107609,1272.0,2.2656323812294916
2014-06-01,2014-04-01,2015-06-01,1188.6303475986483,1379.0,13.804905902926157
2014-07-01,2014-05-01,2015-07-01,1035.7837592604462,1140.0,9.14177550346963
2014-08-01,2014-06-01,2015-08-01,1095.561906922483,1165.0,5.960351337125914
2014-09-01,2014-07-01,2015-09-01,1176.1126012944533,1144.0,2.807045567696964
2014-10-01,2014-08-01,2015-10-01,1152.907870800173,1160.0,0.6113904482609495
2014-11-01,2014-09-01,2015-11-01,1168.9017949620716,1244.0,6.036833202405823
2014-12-01,2014-10-01,2015-12-01,1155.3678609902222,1211.0,4.593900826571247
2015-01-01,2014-11-01,2016-01-01,1095.107221896147,1171.0,6.481022895290611
2015-02-01,2014-12-01,2016-02-01,1155.832662299503,1172.0,1.3794656741038396
