origin,anchor,target,forecast,actual,ape
2017-12-01,2017-09-01,2018-12-01,209.26854632571948,204.666,2.248808461454021
2018-01-01,2017-10-01,2019-01-01,209.8078640050843,204.167,2.762867654951239
2018-02-01,2017-11-01,2019-02-01,210.38866609988287,204.391,2.9344081196739964
2018-03-01,2017-12-01,2019-03-01,211.10274164481598,205.737,2.608058659752978
2018-04-01,2018-01-01,2019-04-01,211.39901751381097,207.65,1.8054502835593396
2018-05-01,2018-02-01,2019-05-01,212.79378680516166,209.313,1.6629577738418881
2018-06-01,2018-03-01,2019-06-01,214.6782308324369,210.548,1.9616575946752728
2018-07-01,2018-04-01,2019-07-01,216.7387898591926,211.298,2.574936752450374
2018-08-01,2018-05-01,2019-08-01,218.33865663713942,211.656,3.15731972499689
2018-09-01,2018-06-01,2019-09-01,219.7312969497085,211.835,3.7275695469155234
2018-10-01,2018-07-01,2019-10-01,220.15807380246326,211.928,3.8834291846585947
2018-11-01,2018-08-01,2019-11-01,219.88749305134675,212.067,3.6877463496662584
2018-12-01,2018-09-01,2019-12-01,219.34265166856832,212.199,3.36648696203484
2019-01-01,2018-10-01,2020-01-01,218.96581963695954,212.36,3.110670388472181
2019-02-01,2018-11-01,2020-02-01,217.83083102212026,213.179,2.182124422255599
2019-03-01,2018-12-01,2020-03-01,216.30411898960872,215.154,0.5345561735355737
2019-04-01,2019-01-01,2020-04-01,214.74638353660717,217.197,1.1282920405865797
2019-05-01,2019-02-01,2020-05-01,214.19621634145093,218.443,1.9441152422137935
2019-06-01,2019-03-01,2020-06-01,215.1039338820255,219.769,2.12271344819993
2019-07-01,2019-04-01,2020-07-01,216.84436810445297,221.526,2.1133554957643987
2019-08-01,2019-05-01,2020-08-01,218.26970079113468,224.005,2.5603442819871494
2019-09-01,2019-06-01,2020-09-01,219.0212963509431,226.754,3.410172984404642
2019-10-01,2019-07-01,2020-10-01,219.55707243350486,229.761,4.441105133810846
2019-11-01,2019-08-01,2020-11-01,219.88780204806682,232.261,5.327281787270863
2019-12-01,2019-09-01,2020-12-01,220.2420661509793,234.31,6.003983547019208
2020-01-01,2019-10-01,2021-01-01,220.46370649126268,236.385,6.73532309949333
2020-02-01,2019-11-01,2021-02-01,221.14183608552761,239.167,7.5366433974889455
2020-03-01,2019-12-01,2021-03-01,222.0063373295427,244.166,9.075654542588769
2020-04-01,2020-01-01,2021-04-01,223.06512615398393,249.776,10.693931300851997
2020-05-01,2020-02-01,2021-05-01,224.697238925595,255.399,12.0210968227773
2020-06-01,2020-03-01,2021-06-01,227.53368575318578,261.114,12.860403596442243
2020-07-01,2020-04-01,2021-07-01,229.75034962004608,265.44,13.445468045491982
2020-08-01,2020-05-01,2021-08-01,230.41754485232667,268.707,14.249519047763298
2020-09-01,2020-06-01,2021-09-01,231.86520005900843,271.357,14.553448019027183
2020-10-01,2020-07-01,2021-10-01,235.0100067122806,273.566,14.093854239093806
2020-11-01,2020-08-01,2021-11-01,240.45932423942335,275.934,12.85621770444261
2020-12-01,2020-09-01,2021-12-01,246.88886694713435,278.507,11.35272472608073
2021-01-01,2020-10-01,2022-01-01,254.17701736889111,281.882,9.82857459188912
2021-02-01,2020-11-01,2022-02-01,260.2287587140375,287.098,9.358909252576652
2021-03-01,2020-12-01,2022-03-01,265.2162853003964,294.891,10.06294349424147
2021-04-01,2021-01-01,2022-04-01,270.2737777101987,301.508,10.359334508471175
2021-05-01,2021-02-01,2022-05-01,276.15143232164485,306.269,9.833697722706235
