origin,anchor,target,forecast,actual,ape
2007-12-01,2007-10-01,2008-12-01,538.0260819636421,377.0,42.71248858452046
2008-01-01,2007-11-01,2009-01-01,380.19637822629613,336.0,13.153683995921467
2008-02-01,2007-12-01,2009-02-01,354.5499605397375,372.0,4.690870822651203
2008-03-01,2008-01-01,2009-03-01,416.12360324834697,339.0,22.750325441990256
2008-04-01,2008-02-01,2009-04-01,401.71351462593793,337.0,19.202823331138852
2008-05-01,2008-03-01,2009-05-01,319.16409313833316,376.0,15.115932675975225
2008-06-01,2008-04-01,2009-06-01,297.81471646101437,393.0,24.220173928495072
2008-07-01,2008-05-01,2009-07-01,276.95043750549945,411.0,32.61546532712909
2008-08-01,2008-06-01,2009-08-01,275.73635530052684,418.0,34.03436476063951
2008-09-01,2008-07-01,2009-09-01,269.5547306850567,386.0,30.16716821630655
2008-10-01,2008-08-01,2009-10-01,250.1324392905612,396.0,36.83524260339364
2008-11-01,2008-09-01,2009-11-01,253.13117813044406,375.0,32.49835249854825
2008-12-01,2008-10-01,2009-12-01,191.74632387076227,352.0,45.52661253671527
2009-01-01,2008-11-01,2010-01-01,217.21497791296653,345.0,37.0391368368213
2009-02-01,2008-12-01,2010-02-01,211.3978186245148,336.0,37.08398255222774
2009-03-01,2009-01-01,2010-03-01,162.27675078289846,381.0,57.40767695986917
2009-04-01,2009-02-01,2010-04-01,215.91321663098495,422.0,48.835730656164706
2009-05-01,2009-03-01,2010-05-01,199.07647113029392,280.0,28.90126031060931
2009-06-01,2009-04-01,2010-06-01,196.112765475404,305.0,35.700732631015086
2009-07-01,2009-05-01,2010-07-01,267.13945656100304,283.0,5.6044323105996305
2009-08-01,2009-06-01,2010-08-01,306.00843964779006,282.0,8.513631080776616
2009-09-01,2009-07-01,2010-09-01,345.45051026594433,317.0,8.97492437411493
2009-10-01,2009-08-01,2010-10-01,399.00451563236624,291.0,37.11495382555541
2009-11-01,2009-09-01,2010-11-01,337.57474456512483,287.0,17.62186221781353
2009-12-01,2009-10-01,2010-12-01,399.52895627570746,326.0,22.554894563100447
2010-01-01,2009-11-01,2011-01-01,359.302201771359,307.0,17.03654780826027
2010-02-01,2009-12-01,2011-02-01,324.9208113014868,270.0,20.341041222772898
2010-03-01,2010-01-01,2011-03-01,355.8051383984014,300.0,18.60171279946714
2010-04-01,2010-02-01,2011-04-01,298.3790575126313,310.0,3.748691124957652
2010-05-01,2010-03-01,2011-05-01,436.62084525796314,305.0,43.15437549441414
2010-06-01,2010-04-01,2011-06-01,548.6247880434569,301.0,82.26737144300893
2010-07-01,2010-05-01,2011-07-01,198.51344011939088,296.0,32.93464860831389
2010-08-01,2010-06-01,2011-08-01,226.9124595003666,299.0,24.109545317603146
2010-09-01,2010-07-01,2011-09-01,183.11411321459283,304.0,39.76509433730499
2010-10-01,2010-08-01,2011-10-01,178.16979184847312,316.0,43.61715447833129
2010-11-01,2010-09-01,2011-11-01,251.92806213138093,328.0,23.192663984335084
2010-12-01,2010-10-01,2011-12-01,203.13765088162853,341.0,40.428841383686645
2011-01-01,2010-11-01,2012-01-01,210.07496373393332,335.0,37.29105560181095
2011-02-01,2010-12-01,2012-02-01,298.083789985149,366.0,18.5563415341123
2011-03-01,2011-01-01,2012-03-01,267.92353783990444,354.0,24.315384790987444
2011-04-01,2011-02-01,2012-04-01,209.19870833665624,354.0,40.90431967891067
2011-05-01,2011-03-01,2012-05-01,226.9953253522087,370.0,38.64991206697062
2011-06-01,2011-04-01,2012-06-01,216.31458888957098,360.0,39.9126141973414
2011-07-01,2011-05-01,2012-07-01,337.0015890484689,369.0,8.67165608442578
