origin,anchor,target,forecast,actual,ape
2011-02-01,2010-12-01,2012-02-01,569.3876475815624,715.0,20.365363974606655
2011-03-01,2011-01-01,2012-03-01,494.700598547037,769.0,35.66962307580794
2011-04-01,2011-02-01,2012-04-01,424.5613681564926,723.0,41.27781906549203
2011-05-01,2011-03-01,2012-05-01,486.6298103601443,784.0,37.929871127532614
2011-06-01,2011-04-01,2012-06-01,491.96204430653313,760.0,35.26815206492985
2011-07-01,2011-05-01,2012-07-01,642.0871599806887,811.0,20.827723800161685
2011-08-01,2011-06-01,2012-08-01,656.5523270708576,801.0,18.033417344462226
2011-09-01,2011-07-01,2012-09-01,632.8229251409324,890.0,28.89630054596265
2011-10-01,2011-08-01,2012-10-01,688.8545829398195,868.0,20.63887293320052
2011-11-01,2011-09-01,2012-11-01,622.1437900288377,900.0,30.87291221901804
2011-12-01,2011-10-01,2012-12-01,766.0272732373525,909.0,15.728572801171348
2012-01-01,2011-11-01,2013-01-01,845.818194128331,904.0,6.436040472529755
2012-02-01,2011-12-01,2013-02-01,722.2177412863163,939.0,23.08650252541893
2012-03-01,2012-01-01,2013-03-01,844.2280026947207,890.0,5.142921045537005
2012-04-01,2012-02-01,2013-04-01,1005.0745837071214,1005.0,0.007421264390189601
2012-05-01,2012-03-01,2013-05-01,1066.526708597832,985.0,8.276823207901737
2012-06-01,2012-04-01,2013-06-01,938.751187345399,918.0,2.260477924335402
2012-07-01,2012-05-01,2013-07-01,1023.2210072588401,954.0,7.255870781849071
2012-08-01,2012-06-01,2013-08-01,940.715835840752,926.0,1.5891831361503233
2012-09-01,2012-07-01,2013-09-01,1094.9636950677143,974.0,12.41927054083309
2012-10-01,2012-08-01,2013-10-01,1031.2978628712158,1039.0,0.7413028997867388
2012-11-01,2012-09-01,2013-11-01,1367.2067175024765,1017.0,34.43527212413732
2012-12-01,2012-10-01,2013-12-01,1180.2642835932622,991.0,19.098313177927572
2013-01-01,2012-11-01,2014-01-01,1188.789141096705,945.0,25.79779270864603
2013-02-01,2012-12-01,2014-02-01,1230.8847546527234,1014.0,21.38902905845398
2013-03-01,2013-01-01,2014-03-01,1251.601708637942,1000.0,25.1601708637942
2013-04-01,2013-02-01,2014-04-01,1307.53342727429,1059.0,23.468690016457984
2013-05-01,2013-03-01,2014-05-01,1099.6008296871319,1005.0,9.413017879316603
2013-06-01,2013-04-01,2014-06-01,1416.2209453952298,973.0,45.55199849899587
2013-07-01,2013-05-01,2014-07-01,1244.6701776873883,1057.0,17.754983697955375
2013-08-01,2013-06-01,2014-08-01,1101.9059878560415,1003.0,9.861015738388986
2013-09-01,2013-07-01,2014-09-01,1108.2366903310622,1031.0,7.491434561693712
2013-10-01,2013-08-01,2014-10-01,1056.5759233281697,1092.0,3.2439630651859277
2013-11-01,2013-08-01,2014-11-01,1066.5785199672002,1052.0,1.3857908714068665
2013-12-01,2013-10-01,2014-12-01,1215.9065456666592,1060.0,14.70816468553389
2014-01-01,2013-11-01,2015-01-01,1124.605354524106,1060.0,6.094844766425085
2014-02-01,2013-12-01,2015-02-01,1050.0966585143017,1102.0,4.709922094890954
2014-03-01,2014-01-01,2015-03-01,981.2454185397754,1038.0,5.467686075166145
2014-04-01,2014-02-01,2015-04-01,1091.4549027867454,1140.0,4.258341860811809
2014-05-01,2014-03-01,2015-05-01,1138.1980448408844,1250.0,8.944156412729244
2014-06-01,2014-04-01,2015-06-01,1081.6058255381934,1337.0,19.102032495273498
2014-07-01,2014-05-01,2015-07-01,999.1979424321501,1130.0,11.57540332458849
2014-08-01,2014-06-01,2015-08-01,1015.4873298974179,1161.0,12.533391051040663
2014-09-01,2014-07-01,2015-09-01,1158.6496857027648,1105.0,4.855175176720799
2014-10-01,2014-08-01,2015-10-01,1071.2124905251644,1161.0,7.73363561368093
2014-11-01,2014-09-01,2015-11-01,1077.1751310208745,1282.0,15.976978859526172
2014-12-01,2014-10-01,2015-12-01,1121.9079542141699,1204.0,6.818276228058981
2015-01-01,2014-11-01,2016-01-01,1069.7744482533824,1204.0,11.148301640084519
2015-02-01,2014-12-01,2016-02-01,1101.6058534782228,1177.0,6.40561992538464
2015-03-01,2015-01-01,2016-03-01,1169.9768225551006,1077.0,8.632945455441098
2015-04-01,2015-02-01,2016-04-01,1214.3648107117278,1130.0,7.465912452365296
2015-05-01,2015-03-01,2016-05-01,1080.6169822606219,1136.0,4.87526564607202
2015-06-01,2015-04-01,2016-06-01,1222.1434455932724,1153.0,5.996829626476359
2015-07-01,2015-05-01,2016-07-01,1590.1225010289186,1144.0,38.99672211791246
2015-08-01,2015-06-01,2016-08-01,1806.4849202926341,1152.0,56.8129271087356
2015-09-01,2015-07-01,2016-09-01,1243.4951902378252,1225.0,1.5098114479857327
2015-10-01,2015-08-01,2016-10-01,1320.071881158364,1260.0,4.767609615743177
2015-11-01,2015-09-01,2016-11-01,1168.921022612785,1212.0,3.5543710715523917
2015-12-01,2015-10-01,2016-12-01,1210.7341240132612,1228.0,1.4060159598321516
2016-01-01,2015-11-01,2017-01-01,1567.5895839826885,1293.0,21.23662675813523
2016-02-01,2015-12-01,2017-02-01,1371.2155652967167,1216.0,12.764437935585255
2016-03-01,2016-01-01,2017-03-01,1398.445142869765,1260.0,10.987709751568655
2016-04-01,2016-02-01,2017-04-01,1276.3788701116634,1228.0,3.939647403229922
2016-05-01,2016-03-01,2017-05-01,1122.0951247248597,1168.0,3.930211924241463
2016-06-01,2016-04-01,2017-06-01,1076.466342296061,1275.0,15.571267270897183
2016-07-01,2016-05-01,2017-07-01,1001.1067616479128,1230.0,18.60920637008839
2016-08-01,2016-06-01,2017-08-01,972.6315760283999,1272.0,23.5352534568868
2016-09-01,2016-07-01,2017-09-01,1146.3377606952051,1225.0,6.421407290187337
2016-10-01,2016-08-01,2017-10-01,1135.8789793291683,1316.0,13.68700764975925
2016-11-01,2016-09-01,2017-11-01,1347.3649946698647,1303.0,3.4048345870962935
2016-12-01,2016-10-01,2017-12-01,1366.9690134003183,1300.0,5.151462569255255
2017-01-01,2016-11-01,2018-01-01,1131.0310983848206,1377.0,17.862665331530824
2017-02-01,2016-12-01,2018-02-01,1260.2681269059537,1321.0,4.597416585469057
2017-03-01,2017-01-01,2018-03-01,1427.2858376293211,1377.0,3.651840060226661
2017-04-01,2017-02-01,2018-04-01,1282.1797973110997,1364.0,5.998548584230226
2017-05-01,2017-03-01,2018-05-01,1531.4318616204298,1301.0,17.71190327597462
2017-06-01,2017-04-01,2018-06-01,1308.4389410878434,1292.0,1.2723638612881913
2017-07-01,2017-05-01,2018-07-01,1156.4405737212705,1303.0,11.247845455006098
2017-08-01,2017-06-01,2018-08-01,1377.8170331722208,1249.0,10.313613544613357
2017-09-01,2017-07-01,2018-09-01,1297.4288886716724,1270.0,2.1597550135175148
2017-10-01,2017-08-01,2018-10-01,1361.4779773676885,1265.0,7.626717578473398
2017-11-01,2017-09-01,2018-11-01,1174.511259195125,1328.0,11.557887108800834
2017-12-01,2017-10-01,2018-12-01,1353.1131390223663,1326.0,2.0447314496505538
2018-01-01,2017-11-01,2019-01-01,1361.3252102732004,1317.0,3.3656196107213634
2018-02-01,2017-12-01,2019-02-01,1345.2958708575075,1291.0,4.205721987413435
2018-03-01,2018-01-01,2019-03-01,1472.6163777880518,1288.0,14.333569704041285
2018-04-01,2018-02-01,2019-04-01,1450.8364174639282,1290.0,12.467939338289009
2018-05-01,2018-03-01,2019-05-01,1532.1111531576355,1299.0,17.94543134392883
2018-06-01,2018-04-01,2019-06-01,1503.1885380654255,1232.0,22.01205666115467
2018-07-01,2018-05-01,2019-07-01,1422.7084834067377,1317.0,8.026460395348348
2018-08-01,2018-06-01,2019-08-01,1269.051671271502,1425.0,10.943742366912135
2018-09-01,2018-07-01,2019-09-01,1357.5384926735621,1391.0,2.405572057975404
2018-10-01,2018-08-01,2019-10-01,1192.0231929166553,1461.0,18.41045907483537
2018-11-01,2018-09-01,2019-11-01,1288.9248678618594,1474.0,12.55597911384943
2018-12-01,2018-10-01,2019-12-01,1179.7069115584484,1420.0,16.922048481799408
2019-01-01,2018-11-01,2020-01-01,1333.8572213538744,1550.0,13.944695396524235
2019-02-01,2018-11-01,2020-02-01,1334.2765814922918,1452.0,8.10767345094409
2019-03-01,2018-12-01,2020-03-01,1333.5383667877418,1356.0,1.65646262627273
2019-04-01,2019-02-01,2020-04-01,1265.1956355873579,1066.0,18.68626975491162
2019-05-01,2019-03-01,2020-05-01,1191.41054480396,1216.0,2.022159144411187
2019-06-01,2019-04-01,2020-06-01,1208.7252845778921,1258.0,3.9169090160658087
2019-07-01,2019-05-01,2020-07-01,1296.6705522344225,1483.0,12.564359255939141
2019-08-01,2019-06-01,2020-08-01,1150.949213634726,1476.0,22.022411000357316
2019-09-01,2019-07-01,2020-09-01,1318.1676271090955,1545.0,14.681706983230065
2019-10-01,2019-08-01,2020-10-01,1634.4042717462391,1544.0,5.855198947295282
2019-11-01,2019-09-01,2020-11-01,1521.622569960755,1635.0,6.9343993907795065
2019-12-01,2019-10-01,2020-12-01,1703.2098098943159,1704.0,0.046372658784280076
2020-01-01,2019-11-01,2021-01-01,1656.0092048299468,1886.0,12.194633890246722
2020-02-01,2019-12-01,2021-02-01,1520.7135173145775,1720.0,11.586423411943167
2020-03-01,2020-01-01,2021-03-01,1876.089164734112,1755.0,6.899667506217211
2020-04-01,2020-02-01,2021-04-01,1671.4216785954723,1733.0,3.5532787884897714
2020-05-01,2020-03-01,2021-05-01,1426.1153623922137,1683.0,15.263495995709228
2020-06-01,2020-04-01,2021-06-01,823.468572438446,1594.0,48.33948729997202
2020-07-01,2020-05-01,2021-07-01,1087.6536293324034,1630.0,33.27278347653967
2020-08-01,2020-06-01,2021-08-01,1240.7232430345657,1721.0,27.906842357085083
2020-09-01,2020-07-01,2021-09-01,1632.2249469169226,1586.0,2.914561596275069
2020-10-01,2020-08-01,2021-10-01,1481.8548174833643,1653.0,10.353610557570219
2020-11-01,2020-09-01,2021-11-01,1681.3010543579994,1717.0,2.079146513803179
2020-12-01,2020-10-01,2021-12-01,1593.2490345343779,1885.0,15.477504799237249
2021-01-01,2020-11-01,2022-01-01,1793.970793598519,1895.0,5.331356538336723
2021-02-01,2020-12-01,2022-02-01,2045.5713648115825,1865.0,9.682110713757774
2021-03-01,2021-01-01,2022-03-01,2396.3517866353473,1879.0,27.533357457974837
2021-04-01,2021-02-01,2022-04-01,2119.6277725302357,1823.0,16.271408257281166
2021-05-01,2021-03-01,2022-05-01,2382.902910413363,1695.0,40.584242502263294
2021-06-01,2021-04-01,2022-06-01,2963.989609683375,1696.0,74.76353830680277
2021-07-01,2021-05-01,2022-07-01,2390.073198653221,1685.0,41.84410674499828
2021-08-01,2021-06-01,2022-08-01,2029.327708004126,1542.0,31.603612711032813
2021-09-01,2021-07-01,2022-09-01,1739.0338686364164,1564.0,11.191423825857825
2021-10-01,2021-08-01,2022-10-01,1986.284519568134,1512.0,31.368023780961252
2021-11-01,2021-09-01,2022-11-01,1582.5071578391644,1351.0,17.13598503620758
2021-12-01,2021-10-01,2022-12-01,1723.337668135197,1337.0,28.895861491039415
2022-01-01,2021-11-01,2023-01-01,1741.8288664090892,1339.0,30.084306677303154
2022-02-01,2021-12-01,2023-02-01,2044.8082356708867,1550.0,31.923111978766883
2022-03-01,2022-01-01,2023-03-01,1909.096688449725,1437.0,32.85293586984864
2022-04-01,2022-02-01,2023-04-01,2041.3770206655195,1417.0,44.063304210692976
2022-05-01,2022-03-01,2023-05-01,2013.7250530762349,1496.0,34.607289644133346
2022-06-01,2022-04-01,2023-06-01,1893.0799424453512,1441.0,31.37265388239772
2022-07-01,2022-05-01,2023-07-01,1699.678626973237,1443.0,17.78784663709196
2022-08-01,2022-06-01,2023-08-01,1737.7665473390036,1541.0,12.768757127774407
2022-09-01,2022-07-01,2023-09-01,1720.6880007378627,1471.0,16.97403132140467
2022-10-01,2022-08-01,2023-10-01,1311.1180789732855,1498.0,12.47542863996759
2022-11-01,2022-09-01,2023-11-01,1506.531931446754,1467.0,2.6947465198877993
2022-12-01,2022-10-01,2023-12-01,1320.590738874064,1493.0,11.54784066483161
2023-01-01,2022-11-01,2024-01-01,1013.1158209196876,1489.0,31.95998516321776
2023-02-01,2022-12-01,2024-02-01,889.4877961415175,1523.0,41.59633643194238
2023-03-01,2023-01-01,2024-03-01,923.5530146570957,1485.0,37.80787780086898
2023-04-01,2023-02-01,2024-04-01,1255.3691686131417,1440.0,12.821585512976268
2023-05-01,2023-03-01,2024-05-01,1039.8726864163712,1399.0,25.670286889465967
2023-06-01,2023-04-01,2024-06-01,1075.3738722679336,1454.0,26.040311398353943
2023-07-01,2023-05-01,2024-07-01,1281.6888569685514,1406.0,8.841475322293645
2023-08-01,2023-06-01,2024-08-01,1187.4543584774456,1470.0,19.220791940309827
2023-09-01,2023-07-01,2024-09-01,1227.1427996012533,1425.0,13.88471581745591
2023-10-01,2023-08-01,2024-10-01,1490.1111706037057,1419.0,5.011358041135001
2023-11-01,2023-09-01,2024-11-01,1345.34977303418,1493.0,9.889499461876753
2023-12-01,2023-10-01,2024-12-01,1434.135336252721,1482.0,3.229734395902774
2024-01-01,2023-11-01,2025-01-01,1546.6518453877445,1473.0,5.000125280905941
2024-02-01,2023-12-01,2025-02-01,1597.3500196851287,1459.0,9.482523624751796
2024-03-01,2024-01-01,2025-03-01,1663.6044372080914,1481.0,12.329806698723257
2024-04-01,2024-02-01,2025-04-01,1574.506740702683,1422.0,10.72480595658811
2024-05-01,2024-03-01,2025-05-01,1521.3029854279011,1394.0,9.132208423809264
2024-06-01,2024-04-01,2025-06-01,1405.7729284303975,1393.0,0.9169367143142528
