origin,anchor,target,forecast,actual,ape
2016-06-01,2016-04-01,2017-06-01,1132.2732840898968,1249.0,9.345613763819308
2016-07-01,2016-05-01,2017-07-01,1234.0963618522112,1206.0,2.3297149131186736
2016-08-01,2016-06-01,2017-08-01,1200.670861761463,1159.0,3.59541516492346
2016-09-01,2016-07-01,2017-09-01,1357.0810201238978,1181.0,14.909485192540034
2016-10-01,2016-08-01,2017-10-01,1220.7172695219367,1257.0,2.8864542941975566
2016-11-01,2016-09-01,2017-11-01,910.9461962125943,1273.0,28.44099008542072
2016-12-01,2016-10-01,2017-12-01,1689.1710419125218,1177.0,43.514956831989956
2017-01-01,2016-11-01,2018-01-01,1103.7692671515092,1299.0,15.029309688105528
2017-02-01,2016-12-01,2018-02-01,1388.1210028455937,1277.0,8.701723010618144
2017-03-01,2017-01-01,2018-03-01,1315.5034909812812,1318.0,0.18941646576015367
2017-04-01,2017-02-01,2018-04-01,1326.8543605902623,1276.0,3.9854514569171107
2017-05-01,2017-03-01,2018-05-01,1289.2941563457246,1357.0,4.989376835245058
2017-06-01,2017-04-01,2018-06-01,1126.480481248489,1192.0,5.496603922106626
2017-07-01,2017-05-01,2018-07-01,1167.589215606096,1208.0,3.345263608766879
2017-08-01,2017-06-01,2018-08-01,1304.8944517945981,1288.0,1.3116810399532708
2017-09-01,2017-07-01,2018-09-01,1168.609222745755,1250.0,6.5112621803396
2017-10-01,2017-08-01,2018-10-01,1145.1553340416824,1221.0,6.211684353670564
2017-11-01,2017-09-01,2018-11-01,1328.0313176429645,1181.0,12.449730537084209
2017-12-01,2017-10-01,2018-12-01,1194.678151250327,1095.0,9.10302751144538
2018-01-01,2017-11-01,2019-01-01,1447.9021556356654,1226.0,18.099686430315284
2018-02-01,2017-12-01,2019-02-01,1095.1592755476502,1121.0,2.305149371306854
2018-03-01,2018-01-01,2019-03-01,1438.8484027775216,1191.0,20.810109385182336
2018-04-01,2018-02-01,2019-04-01,1284.0358079631358,1272.0,0.9462113178565854
2018-05-01,2018-03-01,2019-05-01,1484.836383213167,1293.0,14.83653389119621
2018-06-01,2018-04-01,2019-06-01,1446.4199633532887,1243.0,16.365242425847846
2018-07-01,2018-05-01,2019-07-01,1634.4341120483352,1240.0,31.80920258454317
2018-08-01,2018-06-01,2019-08-01,1128.7793139922958,1375.0,17.906958982378487
2018-09-01,2018-07-01,2019-09-01,1210.3375257223659,1311.0,7.678297046348905
2018-10-01,2018-08-01,2019-10-01,1456.75671250545,1325.0,9.943902830599997
2018-11-01,2018-09-01,2019-11-01,1335.6114933446672,1353.0,1.2851815709780323
2018-12-01,2018-10-01,2019-12-01,1180.3010167693394,1548.0,23.75316429138634
2019-01-01,2018-11-01,2020-01-01,1082.035826375078,1581.0,31.560036282411264
2019-02-01,2018-11-01,2020-02-01,1075.2928673983495,1549.0,30.581480477834123
2019-03-01,2018-12-01,2020-03-01,1000.4864002606321,1266.0,20.97263821006066
2019-04-01,2019-02-01,2020-04-01,962.9183148905165,936.0,2.875888343003901
2019-05-01,2019-03-01,2020-05-01,1058.2156285586059,1039.0,1.8494348949572557
2019-06-01,2019-04-01,2020-06-01,1267.3491787080288,1266.0,0.10657019810654268
2019-07-01,2019-05-01,2020-07-01,1222.1381888846672,1526.0,19.91230741253819
2019-08-01,2019-06-01,2020-08-01,1305.2643627276705,1396.0,6.499687483691227
2019-09-01,2019-07-01,2020-09-01,1278.4062774393853,1473.0,13.210707573700928
2019-10-01,2019-08-01,2020-10-01,1483.9547986159641,1543.0,3.82664947401399
2019-11-01,2019-09-01,2020-11-01,1385.9391093574902,1543.0,10.178930048121178
2019-12-01,2019-10-01,2020-12-01,1457.5813238070616,1614.0,9.691367793862355
2020-01-01,2019-11-01,2021-01-01,1585.575812222332,1624.0,2.366021414881039
2020-02-01,2019-12-01,2021-02-01,2318.394118533085,1398.0,65.83648916545673
2020-03-01,2020-01-01,2021-03-01,2127.062101170288,1688.0,26.010787984021793
2020-04-01,2020-02-01,2021-04-01,2258.940839487152,1489.0,51.70858559349577
2020-05-01,2020-03-01,2021-05-01,1359.4898638847844,1600.0,15.031883507200975
2020-06-01,2020-04-01,2021-06-01,654.4292605334562,1664.0,60.671318477556724
2020-07-01,2020-05-01,2021-07-01,805.0114805055866,1600.0,49.686782468400835
2020-08-01,2020-06-01,2021-08-01,1293.3717741172277,1596.0,18.961668288394254
2020-09-01,2020-07-01,2021-09-01,1944.059368612799,1576.0,23.35402085106593
2020-10-01,2020-08-01,2021-10-01,1420.9057064929816,1587.0,10.465929017455474
2020-11-01,2020-09-01,2021-11-01,1687.4703259075845,1707.0,1.144093385613091
2020-12-01,2020-10-01,2021-12-01,1843.0664001120258,1711.0,7.718667452485435
